Date,Sector,Company,Monthly_Return,Asset_Value
2020-01-31,Mining,Mining_Company_1,0.009955916622662285,379397273.81513226
2020-01-31,Mining,Mining_Company_2,0.010777180411008497,120197534.15129119
2020-01-31,Mining,Mining_Company_3,0.09696908724288526,59263022.4331111
2020-01-31,Mining,Mining_Company_4,-0.03951842887354124,132532029.43404523
2020-01-31,Mining,Mining_Company_5,-0.12323986260472591,244375258.38895208
2020-01-31,Mining,Mining_Company_6,-0.0836473755603643,112772237.29341882
2020-01-31,Mining,Mining_Company_7,-0.11008472177835364,255231492.89766616
2020-01-31,Energy,Energy_Company_1,0.028586574695395973,281405497.2861252
2020-01-31,Energy,Energy_Company_2,0.0021831308789831737,323395183.35564727
2020-01-31,ICT,ICT_Company_1,0.06066543292732903,93952451.30287273
2020-01-31,ICT,ICT_Company_2,0.1181013316838458,104917205.68015048
2020-01-31,ICT,ICT_Company_3,0.0014759575153077725,459194180.9354519
2020-01-31,ICT,ICT_Company_4,-0.048583086852349876,190269984.2402349
2020-01-31,Transport,Transport_Company_1,0.1225896002827332,133184504.98648718
2020-01-31,Transport,Transport_Company_2,0.028673888694711575,89821625.92336378
2020-01-31,Transport,Transport_Company_3,-0.09745208749257304,172107064.29825318
2020-01-31,Agriculture,Agriculture_Company_1,0.08456673017647343,176420529.35932133
2020-01-31,Agriculture,Agriculture_Company_2,-0.003411955540197135,410988641.33931786
2020-01-31,Financials,Financials_Company_1,0.02221367759541573,52484952.705621086
2020-01-31,Financials,Financials_Company_2,0.06014580086377282,378053225.61844426
2020-01-31,Real Estate,Real Estate_Company_1,-0.021662448037187185,438396541.6440171
2020-01-31,Manufacturing,Manufacturing_Company_1,0.03681734123659479,78601257.62871064
2020-01-31,Manufacturing,Manufacturing_Company_2,-0.08106990337329584,378322780.25212884
2020-02-29,Mining,Mining_Company_1,0.048098382768805986,262496716.3228772
2020-02-29,Mining,Mining_Company_2,-0.029324787496649053,392353271.8776038
2020-02-29,Mining,Mining_Company_3,0.06431481466682296,272208018.3639758
2020-02-29,Mining,Mining_Company_4,0.016920801936788,61438607.034842834
2020-02-29,Mining,Mining_Company_5,0.05686034281552733,278856811.0241163
2020-02-29,Mining,Mining_Company_6,0.03137894215491305,234672315.36603338
2020-02-29,Mining,Mining_Company_7,0.0478875721616266,84640959.42295685
2020-02-29,Energy,Energy_Company_1,-0.038472161809329386,468363943.55415785
2020-02-29,Energy,Energy_Company_2,0.08356357088137656,442157265.58447295
2020-02-29,ICT,ICT_Company_1,0.03450165589882831,451651549.32049
2020-02-29,ICT,ICT_Company_2,0.051086374238409824,453241084.96557194
2020-02-29,ICT,ICT_Company_3,-0.022350403017108982,152570823.14387375
2020-02-29,ICT,ICT_Company_4,0.019433187562692904,437328762.46535456
2020-02-29,Transport,Transport_Company_1,-0.007087235881381516,237834951.41695055
2020-02-29,Transport,Transport_Company_2,-0.017934320804006552,201926827.1316326
2020-02-29,Transport,Transport_Company_3,0.02276938415201536,283455779.7845147
2020-02-29,Agriculture,Agriculture_Company_1,0.10295283096143798,487301937.22443235
2020-02-29,Agriculture,Agriculture_Company_2,-0.03218518201054868,178178222.46986043
2020-02-29,Financials,Financials_Company_1,-0.010434413115272725,276205560.4529877
2020-02-29,Financials,Financials_Company_2,0.017580655845955744,115202692.4410504
2020-02-29,Real Estate,Real Estate_Company_1,0.012374096723636667,158924872.1801752
2020-02-29,Manufacturing,Manufacturing_Company_1,0.07076535314622376,156936894.79657984
2020-02-29,Manufacturing,Manufacturing_Company_2,0.06654098534907604,334537623.76711076
2020-03-31,Mining,Mining_Company_1,0.1798196600271706,90630396.52448373
2020-03-31,Mining,Mining_Company_2,0.06675487290993641,133933329.67993438
2020-03-31,Mining,Mining_Company_3,-0.024342198252548495,354903962.82902706
2020-03-31,Mining,Mining_Company_4,-0.01619763951340414,151923098.83907208
2020-03-31,Mining,Mining_Company_5,0.02293251538965181,360921982.14610964
2020-03-31,Mining,Mining_Company_6,0.010796309587414466,111884424.86569695
2020-03-31,Mining,Mining_Company_7,-0.028907853731345474,466112128.2253533
2020-03-31,Energy,Energy_Company_1,0.03163947315988316,346992820.71538055
2020-03-31,Energy,Energy_Company_2,0.08668378746417213,288342760.2602029
2020-03-31,ICT,ICT_Company_1,-0.007064111655128044,453747091.078997
2020-03-31,ICT,ICT_Company_2,0.06735007688768448,202563405.9719153
2020-03-31,ICT,ICT_Company_3,-0.016583241043125724,453699616.97865975
2020-03-31,ICT,ICT_Company_4,0.03951227337838524,338914240.7694295
2020-03-31,Transport,Transport_Company_1,0.05355803545885922,54138673.22748334
2020-03-31,Transport,Transport_Company_2,-0.026257339048442668,52277712.73079841
2020-03-31,Transport,Transport_Company_3,-0.05473297473031935,361352838.96171194
2020-03-31,Agriculture,Agriculture_Company_1,0.03757585976478302,370480649.60639113
2020-03-31,Agriculture,Agriculture_Company_2,-0.09806166686755521,385921132.3031109
2020-03-31,Financials,Financials_Company_1,0.04583305692753688,345925801.5351545
2020-03-31,Financials,Financials_Company_2,-0.003115751418468941,215472111.3767451
2020-03-31,Real Estate,Real Estate_Company_1,-0.0402174525171248,487854749.6386005
2020-03-31,Manufacturing,Manufacturing_Company_1,0.011098792019289646,334012381.6987683
2020-03-31,Manufacturing,Manufacturing_Company_2,0.08665054212291658,309606748.0818616
