Date,Commodity,Price,Unit
2020-01-31,Gold,1500.0,troy_oz
2020-01-31,Platinum,900.0,troy_oz
2020-01-31,Lithium,10000.0,ton
2020-01-31,Nickel,14000.0,ton
2020-01-31,Chrome,300.0,ton
2020-02-29,Gold,1402.6742480505022,troy_oz
2020-02-29,Platinum,892.2544211034065,troy_oz
2020-02-29,Lithium,10251.658523854743,ton
2020-02-29,Nickel,14860.61974874589,ton
2020-02-29,Chrome,312.92143651627384,ton
2020-03-31,Gold,1492.5809746968102,troy_oz
2020-03-31,Platinum,797.2919058728769,troy_oz
2020-03-31,Lithium,13258.721342117744,ton
2020-03-31,Nickel,15196.30995755552,ton
2020-03-31,Chrome,297.49127159007764,ton
2020-04-30,Gold,1529.1531745335672,troy_oz
2020-04-30,Platinum,1018.9574887967299,troy_oz
2020-04-30,Lithium,8321.323230200604,ton
2020-04-30,Nickel,13794.119373998457,ton
2020-04-30,Chrome,258.97122740317076,ton
2020-05-31,Gold,1567.4004676177112,troy_oz
2020-05-31,Platinum,896.748902265501,troy_oz
2020-05-31,Lithium,11287.105591174737,ton
2020-05-31,Nickel,15184.878131041754,ton
2020-05-31,Chrome,341.29520929126,ton
2020-06-30,Gold,1467.8638880655167,troy_oz
2020-06-30,Platinum,833.6333465435282,troy_oz
2020-06-30,Lithium,10121.182783026354,ton
2020-06-30,Nickel,14658.532625091377,ton
2020-06-30,Chrome,305.6043435507315,ton
2020-07-31,Gold,1636.4627214162483,troy_oz
2020-07-31,Platinum,897.0907244391827,troy_oz
2020-07-31,Lithium,14993.426960831437,ton
2020-07-31,Nickel,18327.954538975853,ton
2020-07-31,Chrome,253.05384261768475,ton
2020-08-31,Gold,1249.1835439415133,troy_oz
2020-08-31,Platinum,900.9974716917633,troy_oz
2020-08-31,Lithium,6003.983711231841,ton
2020-08-31,Nickel,12493.143711347011,ton
2020-08-31,Chrome,273.0280207382926,ton
2020-09-30,Gold,1364.2590409607344,troy_oz
2020-09-30,Platinum,925.0079824517131,troy_oz
2020-09-30,Lithium,14079.035824047472,ton
2020-09-30,Nickel,15308.230952347145,ton
2020-09-30,Chrome,292.4772749052069,ton
2020-10-31,Gold,1425.4129472459513,troy_oz
2020-10-31,Platinum,750.0379739733717,troy_oz
2020-10-31,Lithium,14608.927399663262,ton
2020-10-31,Nickel,12281.470106204433,ton
2020-10-31,Chrome,397.82564731582795,ton
2020-11-30,Gold,1346.7196919343041,troy_oz
2020-11-30,Platinum,970.235661305551,troy_oz
2020-11-30,Lithium,16249.641470612585,ton
2020-11-30,Nickel,12135.343010309967,ton
2020-11-30,Chrome,316.13817454171124,ton
2020-12-31,Gold,1370.9946011822256,troy_oz
2020-12-31,Platinum,869.0321694995009,troy_oz
2020-12-31,Lithium,9763.648316559675,ton
2020-12-31,Nickel,7452.2092509178,ton
2020-12-31,Chrome,203.78477039331008,ton
2021-01-31,Gold,1547.6709578839025,troy_oz
2021-01-31,Platinum,866.143194413766,troy_oz
2021-01-31,Lithium,12252.542566417062,ton
2021-01-31,Nickel,15283.272492846429,ton
2021-01-31,Chrome,199.36214910631344,ton
2021-02-28,Gold,1608.928483917673,troy_oz
2021-02-28,Platinum,658.2225621887327,troy_oz
